file,onset,duration,,file,onset,duration
G52545004,00:09.3,0.275,,B52545004,00:06.6,1.09
G52545004,00:09.9,0.25,,B52545004,00:07.8,1.034
G52545004,00:12.1,0.2,,B52545004,00:24.1,0.294
G52545004,00:12.5,0.237,,B52545004,00:24.7,0.877
G52545004,00:12.9,0.225,,B52545004,00:26.0,0.67
G52545004,00:14.3,0.188,,B52545004,00:27.3,0.432
G52545004,00:14.7,0.15,,B52545004,00:28.4,0.501
G52545004,00:17.6,0.55,,B52545004,00:30.3,0.332
G52545004,00:18.3,0.487,,B52545004,00:35.5,0.539
G52545004,00:19.0,0.275,,B52545004,00:46.0,0.432
G52545004,00:23.1,0.237,,B52545004,00:46.9,0.526
G52545004,00:23.6,0.188,,B52545004,00:47.8,0.589
G52545004,00:26.1,0.2,,B52545004,00:48.8,0.601
G52545004,00:26.3,0.237,,B52545004,00:49.8,0.833
G52545004,00:26.7,0.15,,B52545004,00:50.8,4.266
G52545004,00:29.9,0.25,,B52545004,00:55.3,0.733
G52545004,00:30.6,0.263,,B52545004,00:56.6,0.721
G52545004,00:37.8,0.225,,B52545004,01:01.9,0.395
G52545004,00:38.3,0.175,,B52545004,01:02.9,0.489
G52545004,00:38.7,0.188,,B52545004,01:03.9,0.545
G52545004,00:40.0,0.2,,B52545004,01:05.0,0.589
G52545004,00:43.6,0.313,,B52545004,01:06.1,0.558
G52545004,00:44.2,0.275,,B52545004,01:07.2,0.595
G52545004,00:56.4,0.175,,B52545004,01:21.7,0.401
G52545004,00:57.3,0.175,,B52545004,01:23.0,0.388
G52545004,00:58.5,0.188,,B52545004,01:24.1,0.388
G52545004,00:59.0,0.188,,B52545004,01:25.2,0.67
G52545004,00:59.3,0.212,,B52545004,01:26.0,1.854
G52545004,00:59.8,0.15,,B52545004,01:27.9,4.197
G52545004,01:03.5,0.275,,B52545004,01:32.3,2.65
G52545004,01:04.0,0.263,,B52545004,01:48.0,0.476
G52545004,01:08.4,0.25,,B52545004,01:48.6,0.382
G52545004,01:08.8,0.175,,B52545004,01:49.1,2.612
G52545004,01:09.1,0.2,,B52545004,01:51.8,1.04
G52545004,01:09.5,0.125,,B52545004,01:53.0,2.838
G52545004,01:12.6,0.425,,B52545004,01:56.1,2.136
G52545004,01:13.2,0.2,,B52545004,01:58.4,0.639
G52545004,01:13.6,0.212,,B52545004,02:11.1,0.495
G52545004,01:14.3,0.2,,B52545004,02:12.2,0.564
G52545004,01:14.6,0.263,,B52545004,02:13.4,0.62
G52545004,01:15.1,0.188,,B52545004,02:14.3,0.896
G52545004,01:16.8,0.237,,B52545004,02:15.5,0.971
G52545004,01:17.4,0.15,,B52545004,02:16.7,0.927
G52545004,01:20.7,0.263,,B52545004,02:18.0,0.739
G52545004,01:21.2,0.275,,B52545004,02:18.9,0.946
G52545004,01:35.6,0.313,,B52545004,02:20.0,0.376
G52545004,01:36.2,0.35,,B52545004,02:20.5,1.529
G52545004,01:36.8,0.188,,B52545004,02:22.4,1.002
G52545004,01:37.2,0.275,,B52545004,02:23.6,1.009
G52545004,01:39.1,0.175,,B52545004,02:30.0,0.52
G52545004,01:40.7,0.287,,B52545004,02:30.7,1.616
G52545004,01:41.0,0.2,,B52545004,02:32.5,0.858
G52545004,01:41.4,0.175,,B52545004,02:33.6,0.927
G52545004,01:41.7,0.175,,B52545004,02:34.6,1.654
G52545004,01:42.1,0.188,,B52545004,02:36.3,0.677
G52545004,01:43.9,0.275,,B52545004,02:39.8,0.413
G52545004,01:44.6,0.113,,B52545004,02:40.7,0.507
G52545004,01:45.0,0.25,,B52545004,02:41.8,0.526
G52545004,01:45.6,0.175,,B52545004,02:42.9,0.457
G52545004,01:58.2,0.237,,B52545004,02:43.9,0.558
G52545004,01:59.3,0.225,,B52545004,02:45.1,0.545
G52545004,02:01.0,0.225,,B52545004,02:46.3,0.545
G52545004,02:01.3,0.15,,B52545004,02:54.0,0.614
G52545004,02:01.6,0.175,,B52545004,02:54.9,0.877
G52545004,02:02.2,0.15,,B52545004,02:55.9,0.977
G52545004,02:02.6,0.163,,B52545004,02:57.0,2.625
G52545004,02:04.4,0.263,,B52545004,02:59.8,1.096
G52545004,02:04.8,0.163,,B52545004,03:01.1,4.104
G52545004,02:05.1,0.25,,B52545004,03:05.3,0.651
G52545004,02:05.5,0.175,,B52545004,03:15.2,0.288
G52545004,02:06.4,0.175,,B52545004,03:15.6,0.514
G52545004,02:07.6,0.4,,B52545004,03:16.2,0.934
