file,onset,duration,,file,onset,duration,
G62939005,00:05.4,0.175,,B62939005,00:00.1,0.738,B
G62939005,00:06.9,0.263,,B62939005,00:01.4,0.863,B
G62939005,00:07.4,0.138,,B62939005,00:02.7,0.887,B
G62939005,00:10.2,0.237,,B62939005,00:04.2,0.713,B
G62939005,00:10.6,0.138,,B62939005,00:11.3,0.438,B
G62939005,00:13.3,0.188,,B62939005,00:17.9,0.537,B
G62939005,00:20.0,0.212,,B62939005,00:28.1,0.575,B
G62939005,00:21.1,0.3,,B62939005,00:29.0,0.938,B
G62939005,00:35.2,0.212,,B62939005,00:30.1,1.013,B
G62939005,00:38.6,0.237,,B62939005,00:31.3,0.975,B
G62939005,00:41.4,0.163,,B62939005,00:32.6,0.95,B
G62939005,00:46.0,0.175,,B62939005,00:34.1,0.637,B
G62939005,00:47.1,0.212,,B62939005,00:41.6,0.537,B
G62939005,00:59.1,0.212,,B62939005,00:49.2,0.537,B
G62939005,00:59.6,0.225,,B62939005,00:50.4,0.6,B
G62939005,01:02.6,0.212,,B62939005,00:51.2,3.962,B
G62939005,01:03.9,0.237,,B62939005,00:55.8,0.5,B
G62939005,01:05.5,0.125,,B62939005,00:57.1,0.4,B
G62939005,01:07.2,0.2,,B62939005,01:09.1,0.55,B
G62939005,01:07.5,0.15,,B62939005,01:10.3,0.537,B
G62939005,01:16.2,0.313,,B62939005,01:11.3,0.563,B
G62939005,01:18.7,0.175,,B62939005,01:12.4,0.575,B
G62939005,01:27.1,0.2,,B62939005,01:13.5,0.613,B
G62939005,01:28.3,0.2,,B62939005,01:14.6,0.65,B
G62939005,01:30.6,0.212,,B62939005,01:16.9,0.588,B
G62939005,01:37.6,0.188,,B62939005,01:19.9,0.475,B
G62939005,01:40.6,0.163,,B62939005,01:21.0,0.512,B
G62939005,01:48.6,0.175,,B62939005,01:22.1,0.613,B
G62939005,01:52.5,0.15,,B62939005,01:23.2,0.65,B
G62939005,01:53.7,0.35,,B62939005,01:24.3,0.65,B
G62939005,01:54.2,0.125,,B62939005,01:25.6,0.825,B
G62939005,01:57.6,0.15,,B62939005,01:30.8,0.487,B
G62939005,02:05.6,0.2,,B62939005,01:32.0,0.525,B
G62939005,02:08.7,0.1,,B62939005,01:33.1,0.6,B
G62939005,02:10.9,0.175,,B62939005,01:34.2,0.65,B
G62939005,02:16.3,0.163,,B62939005,01:35.5,0.6,B
G62939005,02:21.0,0.15,,B62939005,01:36.7,0.675,B
G62939005,02:22.6,0.188,,B62939005,01:40.4,0.412,B
G62939005,02:32.1,0.125,,B62939005,01:41.4,0.388,B
G62939005,02:34.7,0.275,,B62939005,01:42.4,0.438,B
G62939005,02:41.5,0.163,,B62939005,01:43.6,0.4,B
G62939005,02:49.9,0.15,,B62939005,01:46.4,0.575,B
